,Habitantes,Máximo de publicadores en 2018,"Proporción, un publicador por cada:",% de aumento sobre 2017,Número de bautizados en 2018,Promedio de precursores,Número de congregaciones,Asistencia a la Conmemoración
Albania,2870324.0,5647.0,508.0,0.0,143.0,1332.0,93.0,11866.0
Alemania,82792351.0,165870.0,499.0,0.0,2791.0,13998.0,2105.0,262628.0
Andorra,76953.0,178.0,432.0,-4.0,3.0,16.0,3.0,354.0
Angola,27794030.0,155991.0,178.0,9.0,12215.0,22994.0,2111.0,635980.0
Anguila,17087.0,67.0,255.0,0.0,0.0,11.0,2.0,225.0
Antigua,91889.0,479.0,192.0,-1.0,9.0,48.0,7.0,1337.0
Argentina,44494502.0,153342.0,290.0,1.0,4229.0,24075.0,1980.0,312994.0
Armenia,2986500.0,10977.0,272.0,0.0,262.0,2213.0,134.0,21843.0
Aruba,106000.0,1080.0,98.0,0.0,31.0,96.0,14.0,2898.0
Australia,24772247.0,68247.0,363.0,1.0,1250.0,6578.0,786.0,116581.0
Austria,8823054.0,21563.0,409.0,0.0,332.0,1690.0,299.0,34118.0
Azerbaiyán,9898085.0,1430.0,6922.0,2.0,77.0,335.0,14.0,2874.0
Azores,243862.0,767.0,318.0,0.0,11.0,102.0,15.0,1528.0
Bahamas,399000.0,1762.0,226.0,3.0,46.0,244.0,27.0,4237.0
Bangladesh,166368149.0,303.0,549070.0,1.0,15.0,137.0,6.0,839.0
Barbados,292336.0,2496.0,117.0,-2.0,55.0,190.0,30.0,5573.0
Bélgica,11514752.0,25429.0,453.0,0.0,425.0,1939.0,339.0,43326.0
Belice,383040.0,2673.0,143.0,1.0,125.0,534.0,63.0,7987.0
Benín,11486000.0,13644.0,842.0,4.0,587.0,1725.0,209.0,44661.0
Bermudas,61000.0,521.0,117.0,-2.0,8.0,88.0,5.0,927.0
Bielorrusia,9491823.0,6146.0,1544.0,2.0,224.0,1255.0,80.0,10046.0
Bolivia,11240000.0,27776.0,405.0,3.0,1414.0,6684.0,404.0,86800.0
Bonaire,26000.0,160.0,163.0,2.0,0.0,20.0,2.0,351.0
Bosnia-Herzegovina,3507000.0,1108.0,3165.0,-4.0,10.0,179.0,16.0,1690.0
Botsuana,2341861.0,2316.0,1011.0,2.0,118.0,306.0,45.0,6225.0
Brasil,208888781.0,869537.0,240.0,3.0,32457.0,113750.0,12270.0,1827079.0
Bulgaria,7037000.0,2530.0,2781.0,3.0,52.0,702.0,55.0,5424.0
Burkina Faso,19752000.0,1958.0,10088.0,3.0,74.0,277.0,48.0,4309.0
Burundi,9732000.0,14508.0,671.0,5.0,921.0,2211.0,266.0,50681.0
Cabo Verde,560899.0,2317.0,242.0,3.0,119.0,417.0,34.0,7874.0
Caimán (islas),62000.0,265.0,234.0,0.0,3.0,34.0,3.0,620.0
Camboya,16245729.0,1156.0,14053.0,5.0,27.0,648.0,16.0,3023.0
Camerún,25293116.0,43965.0,575.0,4.0,1764.0,5198.0,486.0,98947.0
Canadá,36953765.0,115959.0,319.0,0.0,1703.0,13125.0,1402.0,183048.0
Centroafricana. Rep,5000000.0,2889.0,1731.0,3.0,138.0,306.0,56.0,17622.0
Chad,15000000.0,847.0,17710.0,3.0,69.0,76.0,19.0,4558.0
Checa. Rep,10625449.0,15442.0,688.0,0.0,228.0,1274.0,216.0,26370.0
Chile,18552218.0,80451.0,231.0,2.0,2140.0,13280.0,1012.0,177431.0
Chipre,885600.0,2659.0,333.0,2.0,45.0,454.0,43.0,4674.0
Chuuk,48651.0,47.0,1035.0,10.0,2.0,17.0,2.0,181.0
Colombia,49850000.0,181691.0,274.0,3.0,6482.0,27657.0,2243.0,512386.0
Congo. Rep del,5399895.0,7899.0,684.0,8.0,550.0,737.0,88.0,34550.0
Congo. Rep Dem del,84004989.0,229740.0,366.0,4.0,15825.0,20940.0,3772.0,1220046.0
Cook (islas),17411.0,196.0,89.0,-3.0,3.0,26.0,3.0,482.0
Corea del Sur,51635256.0,101246.0,510.0,0.0,1770.0,43692.0,1278.0,135489.0
Costa de Marfil,23889455.0,11938.0,2001.0,5.0,525.0,1657.0,324.0,69529.0
Costa Rica,4956898.0,31786.0,156.0,2.0,1023.0,3711.0,451.0,69999.0
Croacia,4189000.0,5042.0,831.0,-3.0,81.0,438.0,59.0,7579.0
Cuba,11480000.0,95031.0,121.0,0.0,2537.0,9985.0,1503.0,230936.0
Curazao,161000.0,2057.0,78.0,-1.0,60.0,229.0,26.0,5259.0
Dinamarca,5789957.0,14644.0,395.0,0.0,227.0,1075.0,173.0,20923.0
Dominica,73897.0,428.0,173.0,-1.0,17.0,60.0,10.0,1046.0
Dominicana. Rep,10882996.0,38606.0,282.0,1.0,1307.0,7234.0,577.0,113928.0
Ecuador,17023408.0,97168.0,175.0,3.0,4449.0,17887.0,1119.0,276542.0
El Salvador,6190216.0,40900.0,151.0,0.0,1006.0,5362.0,738.0,88132.0
Eslovaquia,5445087.0,11293.0,482.0,-1.0,188.0,929.0,134.0,20639.0
Eslovenia,2075000.0,1841.0,1127.0,-2.0,17.0,232.0,30.0,2842.0
España,46397452.0,114544.0,405.0,1.0,2230.0,16423.0,1486.0,189369.0
Estados Unidos,326767000.0,1234877.0,265.0,0.0,26618.0,181822.0,13016.0,2441125.0
Estonia,1319133.0,4036.0,327.0,-1.0,88.0,510.0,57.0,6265.0
Etiopía,104957000.0,10472.0,10023.0,1.0,395.0,2416.0,221.0,23401.0
Feroe (islas),50844.0,123.0,413.0,-6.0,0.0,28.0,4.0,170.0
Filipinas,105097329.0,217220.0,484.0,3.0,9330.0,46757.0,3419.0,601325.0
Finlandia,5513130.0,18324.0,301.0,0.0,241.0,2132.0,290.0,24814.0
Fiyi,912241.0,3250.0,281.0,1.0,127.0,505.0,82.0,11131.0
Francia,65204153.0,129974.0,502.0,1.0,2126.0,15012.0,1687.0,222822.0
Gabón,1853964.0,4604.0,403.0,4.0,185.0,609.0,53.0,11002.0
Gambia,2163765.0,246.0,8796.0,7.0,4.0,32.0,5.0,597.0
Georgia,3729600.0,18173.0,205.0,0.0,456.0,3334.0,219.0,31930.0
Ghana,29463643.0,140274.0,210.0,3.0,6260.0,15639.0,2097.0,387138.0
Gibraltar,34733.0,128.0,271.0,4.0,4.0,18.0,2.0,156.0
Gran Bretaña,64310785.0,139783.0,460.0,0.0,2293.0,14424.0,1615.0,221205.0
Granada,117724.0,595.0,198.0,0.0,5.0,65.0,10.0,1215.0
Grecia,10815197.0,28254.0,383.0,-1.0,524.0,4059.0,359.0,44777.0
Groenlandia,55877.0,165.0,339.0,-5.0,5.0,35.0,5.0,318.0
Guadalupe,403613.0,8332.0,48.0,1.0,207.0,708.0,121.0,19065.0
Guam,159358.0,745.0,214.0,3.0,11.0,159.0,10.0,1878.0
Guatemala,17368134.0,40490.0,429.0,1.0,1315.0,6688.0,884.0,96570.0
Guayana Francesa,290384.0,2694.0,108.0,3.0,109.0,429.0,47.0,10535.0
Guinea,13740608.0,1015.0,13538.0,8.0,49.0,119.0,20.0,4059.0
Guinea-Bissau,1907268.0,171.0,11154.0,3.0,8.0,44.0,3.0,642.0
Guinea Ecuatorial,928778.0,2272.0,409.0,9.0,165.0,279.0,22.0,8342.0
Guyana,775864.0,3121.0,249.0,0.0,132.0,472.0,48.0,13330.0
Haití,9993000.0,19951.0,501.0,0.0,995.0,2788.0,282.0,82913.0
Honduras,8429901.0,23430.0,360.0,0.0,883.0,4276.0,450.0,63549.0
Hong Kong,7448900.0,5571.0,1337.0,1.0,498.0,1104.0,63.0,9880.0
Hungría,9688847.0,21412.0,452.0,-2.0,411.0,1861.0,294.0,36677.0
India,1354051854.0,48615.0,27853.0,4.0,1702.0,7958.0,684.0,136916.0
Indonesia,268459957.0,28283.0,9492.0,2.0,1442.0,4283.0,492.0,58658.0
Irlanda,6632457.0,7061.0,939.0,2.0,131.0,1048.0,120.0,11842.0
Islandia,348450.0,387.0,900.0,2.0,7.0,55.0,7.0,713.0
Israel,9055123.0,1808.0,5008.0,7.0,42.0,309.0,31.0,4179.0
Italia,60457909.0,251502.0,240.0,0.0,4307.0,37435.0,2921.0,417090.0
Jamaica,2899000.0,11425.0,254.0,-1.0,315.0,1522.0,178.0,31962.0
Japón,127185332.0,212802.0,598.0,0.0,2050.0,65890.0,3025.0,294296.0
Kazajistán,18533849.0,17507.0,1059.0,-1.0,517.0,3869.0,261.0,30809.0
Kenia,51226537.0,29860.0,1716.0,2.0,1160.0,3643.0,641.0,73103.0
Kirguistán,6256700.0,5420.0,1154.0,1.0,183.0,1223.0,83.0,10321.0
Kiribati,118414.0,150.0,789.0,5.0,9.0,33.0,3.0,557.0
Kosovo,1798506.0,262.0,6865.0,-1.0,7.0,110.0,8.0,579.0
Kosrae,6616.0,18.0,368.0,-6.0,0.0,6.0,1.0,82.0
Lesoto,2269178.0,4248.0,534.0,2.0,169.0,517.0,91.0,10919.0
Letonia,1925253.0,2216.0,869.0,-1.0,42.0,328.0,37.0,3288.0
Liberia,4892190.0,7286.0,671.0,3.0,333.0,707.0,141.0,46011.0
Liechtenstein,38110.0,90.0,423.0,-1.0,0.0,2.0,1.0,132.0
Lituania,2799127.0,3026.0,925.0,-1.0,55.0,435.0,46.0,4661.0
Luxemburgo,602005.0,2141.0,281.0,1.0,41.0,182.0,33.0,3861.0
Macao,658900.0,346.0,1904.0,10.0,7.0,86.0,5.0,765.0
Macedonia,2088091.0,1281.0,1630.0,0.0,54.0,159.0,23.0,2870.0
Madagascar,26431287.0,35823.0,738.0,3.0,2382.0,5826.0,778.0,136847.0
Madeira,254368.0,1152.0,221.0,1.0,20.0,118.0,19.0,1836.0
Malasia,32000000.0,5350.0,5981.0,4.0,292.0,1440.0,118.0,13584.0
Malaui,18990325.0,95203.0,199.0,5.0,6692.0,7331.0,1571.0,339734.0
Mali,19107706.0,322.0,59341.0,4.0,13.0,56.0,7.0,1096.0
Malta,431000.0,774.0,557.0,6.0,20.0,101.0,10.0,1274.0
Malvinas (islas),2910.0,15.0,194.0,18.0,0.0,1.0,1.0,24.0
Marshall (islas),69747.0,226.0,309.0,-6.0,4.0,31.0,4.0,793.0
Martinica,384769.0,4901.0,79.0,0.0,106.0,583.0,62.0,10233.0
Mauricio,1266692.0,1917.0,661.0,0.0,94.0,205.0,26.0,4234.0
Mayotte,260000.0,177.0,1469.0,8.0,4.0,43.0,3.0,358.0
México,131918726.0,871339.0,151.0,1.0,29134.0,143820.0,13245.0,2214594.0
Moldavia,4043000.0,19213.0,210.0,-2.0,497.0,2224.0,210.0,34199.0
Mongolia,3121772.0,459.0,6801.0,-2.0,8.0,210.0,9.0,1269.0
Montenegro,620029.0,274.0,2263.0,0.0,10.0,57.0,5.0,571.0
Montserrat,5292.0,34.0,156.0,24.0,0.0,17.0,1.0,162.0
Mozambique,30500000.0,64536.0,473.0,6.0,4065.0,5491.0,1289.0,306876.0
Myanmar,53866417.0,4499.0,11973.0,4.0,123.0,673.0,82.0,9585.0
Namibia,2599082.0,2476.0,1050.0,1.0,44.0,272.0,45.0,8202.0
Nauru,11302.0,19.0,595.0,6.0,0.0,2.0,1.0,83.0
Nepal,28441000.0,2629.0,10818.0,5.0,147.0,910.0,41.0,8097.0
Nicaragua,6290787.0,29243.0,215.0,1.0,809.0,4499.0,502.0,88303.0
Nieves,12000.0,65.0,185.0,5.0,0.0,3.0,1.0,225.0
Níger,22311000.0,332.0,67202.0,6.0,18.0,37.0,7.0,860.0
Nigeria,195875000.0,390250.0,502.0,2.0,13256.0,40430.0,6547.0,806256.0
Niue,1624.0,22.0,74.0,-9.0,0.0,2.0,1.0,52.0
Norfolk (isla),1748.0,9.0,194.0,17.0,0.0,1.0,1.0,26.0
Noruega,5312343.0,11745.0,452.0,1.0,234.0,1134.0,167.0,17235.0
Nueva Caledonia,284000.0,2489.0,114.0,5.0,107.0,265.0,32.0,7255.0
Nueva Zelanda,4749598.0,14301.0,332.0,0.0,287.0,1338.0,186.0,26513.0
Países Bajos,17218328.0,29603.0,582.0,-1.0,482.0,2034.0,357.0,49622.0
Pakistán,197015955.0,1140.0,172821.0,1.0,44.0,87.0,20.0,3622.0
Palaos,21108.0,80.0,264.0,-9.0,1.0,8.0,2.0,221.0
Palestinos. Territorios,4780000.0,68.0,70294.0,-18.0,4.0,12.0,2.0,147.0
Panamá,4116741.0,17780.0,232.0,2.0,574.0,3011.0,321.0,53238.0
Papúa Nueva Guinea,8418346.0,5141.0,1637.0,4.0,393.0,546.0,118.0,39086.0
Paraguay,6932449.0,10750.0,645.0,2.0,483.0,1873.0,239.0,22796.0
Perú,31237385.0,131624.0,237.0,2.0,3913.0,28750.0,1493.0,370882.0
Polonia,38433558.0,116299.0,330.0,-1.0,1508.0,8383.0,1288.0,180603.0
Ponapé,35981.0,67.0,537.0,-10.0,0.0,19.0,1.0,183.0
Portugal,9792797.0,49299.0,199.0,1.0,1072.0,4638.0,652.0,86182.0
Puerto Rico,3659000.0,23632.0,155.0,-7.0,472.0,3753.0,299.0,46097.0
Reunión,883153.0,3380.0,261.0,3.0,87.0,451.0,41.0,6535.0
Rodríguez,42638.0,57.0,748.0,10.0,0.0,16.0,1.0,183.0
Rota,2477.0,12.0,206.0,0.0,0.0,3.0,1.0,23.0
Ruanda,12089721.0,30076.0,402.0,3.0,1777.0,5272.0,553.0,80601.0
Rumania,19581000.0,39788.0,492.0,-1.0,738.0,3990.0,538.0,75082.0
Saba,1800.0,11.0,164.0,-18.0,0.0,2.0,0.0,65.0
Saipán,48200.0,217.0,222.0,-1.0,14.0,37.0,3.0,498.0
Salomón (islas),626227.0,2077.0,302.0,-1.0,120.0,228.0,52.0,9953.0
Samoa,197695.0,538.0,367.0,6.0,38.0,99.0,12.0,2300.0
Samoa Norteamericana,55679.0,194.0,287.0,-6.0,8.0,36.0,3.0,682.0
San Bartolomé,9604.0,34.0,282.0,-14.0,0.0,5.0,1.0,66.0
San Cristóbal,40715.0,216.0,188.0,-1.0,8.0,27.0,4.0,684.0
San Eustaquio,4020.0,30.0,134.0,0.0,0.0,3.0,1.0,102.0
San Marino,34589.0,198.0,175.0,3.0,0.0,35.0,2.0,313.0
San Martín (terr francés),36629.0,300.0,122.0,-9.0,3.0,27.0,5.0,1047.0
San Martín (terr holandés),42083.0,361.0,117.0,4.0,14.0,40.0,5.0,876.0
San Pedro y Miquelón,6372.0,12.0,531.0,-23.0,0.0,6.0,1.0,19.0
San Vicente y las Granadinas,102089.0,344.0,297.0,-2.0,2.0,41.0,8.0,982.0
Santa Elena,4074.0,117.0,35.0,1.0,0.0,0.0,3.0,246.0
Santa Lucía,164994.0,819.0,201.0,5.0,23.0,114.0,11.0,1760.0
Santo Tomé y Príncipe,201025.0,875.0,230.0,6.0,54.0,142.0,13.0,3231.0
Senegal,16294270.0,1369.0,11902.0,3.0,38.0,169.0,29.0,2725.0
Serbia,7040272.0,3933.0,1790.0,0.0,90.0,637.0,66.0,8149.0
Seychelles,94988.0,338.0,281.0,-2.0,6.0,41.0,4.0,906.0
Sierra Leona,6926767.0,2349.0,2949.0,3.0,130.0,297.0,40.0,7179.0
Sri Lanka,20967913.0,6482.0,3235.0,5.0,395.0,797.0,115.0,15656.0
Suazilandia,1396414.0,3316.0,421.0,1.0,133.0,322.0,80.0,8272.0
Sudáfrica,57539935.0,105232.0,547.0,2.0,4581.0,13209.0,2034.0,262126.0
Sudán,41727690.0,633.0,65921.0,-3.0,22.0,95.0,14.0,2319.0
Sudán del Sur,13172963.0,1697.0,7763.0,6.0,96.0,177.0,32.0,5435.0
Suecia,10182291.0,22330.0,456.0,0.0,321.0,2400.0,306.0,34035.0
Suiza,8482152.0,19354.0,438.0,0.0,240.0,1313.0,272.0,31329.0
Surinam,569874.0,3133.0,182.0,2.0,126.0,336.0,56.0,10061.0
Tahití,275918.0,3250.0,85.0,1.0,116.0,508.0,48.0,9196.0
Tailandia,68414135.0,5170.0,13233.0,6.0,154.0,1923.0,125.0,10347.0
Taiwán,23570000.0,10839.0,2175.0,3.0,344.0,3603.0,181.0,20626.0
Tanzania,59477688.0,18705.0,3180.0,4.0,1066.0,1950.0,455.0,58620.0
Timor Oriental,1324094.0,366.0,3618.0,4.0,28.0,82.0,5.0,845.0
Tinián,2500.0,14.0,179.0,8.0,0.0,1.0,1.0,41.0
Togo,7991000.0,21755.0,367.0,3.0,794.0,2290.0,307.0,64898.0
Tonga,109008.0,209.0,522.0,-5.0,6.0,30.0,2.0,511.0
Trinidad y Tobago,1371824.0,10030.0,137.0,1.0,274.0,1322.0,127.0,24401.0
Turcas y Caicos (islas),36000.0,338.0,107.0,2.0,10.0,49.0,6.0,985.0
Turquía,80810525.0,3506.0,23049.0,13.0,121.0,841.0,47.0,6275.0
Tuvalu,11308.0,88.0,129.0,-6.0,9.0,7.0,1.0,224.0
Ucrania,42309269.0,138513.0,305.0,-6.0,2897.0,18457.0,1522.0,217417.0
Uganda,39049142.0,8179.0,4774.0,7.0,486.0,1116.0,152.0,28147.0
Uruguay,3505985.0,11915.0,294.0,1.0,323.0,1283.0,152.0,23579.0
Vanuatu,283432.0,753.0,376.0,3.0,64.0,84.0,16.0,3797.0
Venezuela,32560997.0,148042.0,220.0,-3.0,7259.0,32152.0,1801.0,452717.0
Vírgenes Brit (islas),32000.0,260.0,123.0,3.0,0.0,34.0,4.0,699.0
Vírgenes de EE UU (islas),105000.0,607.0,173.0,1.0,8.0,118.0,10.0,1549.0
Wallis y Futuna (islas),11000.0,52.0,212.0,15.0,1.0,3.0,1.0,275.0
Yap,11376.0,30.0,379.0,4.0,3.0,10.0,1.0,124.0
Zambia,16897386.0,204176.0,83.0,6.0,16218.0,16362.0,3249.0,931426.0
Zimbabue,16913261.0,48278.0,350.0,4.0,2079.0,6678.0,1353.0,122058.0
33 países más,0.0,223747.0,0.0,1.3,4672.0,45348.0,3371.0,334215.0
Gran total (240 países y territorios),0.0,8579909.0,0.0,1.4,281744.0,1267808.0,119954.0,20329317.0
